0?000132065	1?9998
0	0
0?03333	-0?291423
0?06666	-0?567442
0?09999	-0?846541
0?13332	-1?14721
0?16665	-1?48793
0?19998	-1?87194
0?23331	-2?23049
0?26664	-2?57757
0?29997	-2?94287
0?3333	-3?3561
0?36663	-3?84696
0?39996	-4?44514
0?43329	-5?18034
0?46662	-6?03607
0?49995	-6?96715
0?53328	-7?9603
0?56661	-9?00224
0?59994	-10?0797
0?63327	-11?1794
0?6666	-12?288
0?69993	-13?3922
0?73326	-14?4789
0?76659	-15?5346
0?79992	-16?5461
0?83325	-17?5002
0?86658	-18?4037
0?89991	-19?3598
0?93324	-20?3634
0?96657	-21?3882
0?9999	-22?4084
1?03323	-23?3978
1?06656	-24?3305
1?09989	-25?1803
1?13322	-25?9214
1?16655	-26?5275
1?19988	-26?9727
1?23321	-27?231
1?26654	-27?2763
1?29987	-27?1072
1?3332	-26?7514
1?36653	-26?2267
1?39986	-25?5507
1?43319	-24?7413
1?46652	-23?816
1?49985	-22?7928
1?53318	-21?6892
1?56651	-20?5231
1?59984	-19?3122
1?63317	-18?0741
1?6665	-16?8266
1?69983	-15?5611
1?73316	-14?1419
1?76649	-12?5729
1?79982	-10?8852
1?83315	-9?10968
1?86648	-7?27739
1?89981	-5?41929
1?93314	-3?56635
1?96647	-1?74955
1?9998	0?000132065
